Unnamed: 0,Text,label
2036,leftist homosexual war church kicked high gear infiltration priesthood boy raping fag,1
1231,wrong nigger always causung mischief among ur people,1
2877,lem throw tranny,0
1689,elite call conservative nigger behind closed door,1
2073,shade faggot clash eye color,1
2141,dani alves pulled hairstyle neymar look like faggot,1
2332,mother look like tough nail bird see got nice food,0
337,oh make brownie alright,0
2505,hoe hoe,1
2873,nigger,1
1399,impressed anybody could chug smirnoff ice quickly,0
2799,discredited per government study good factual pay bill moocher teabaggers republican,0
1774,grape crackhead charlie brown,0
958,flaming faggot publicly state want everything handed like fuck dude get bottom something,1
1517,wish coulda said tonight good seeing fag,1
1258,like bitch nigga,1
1550,grass greener side fence course also soggy septic field,0
581,nip tryna buy copy website let know something,0
2606,skate trash skate goat dlc,0
2693,going murder fucking cunt,1
521,yeah definitely guy fought lara cut ring well huge boon canelo,0
122,yo bitch need bos fuck,1
2785,seen sum tryin see lox n mook,0
1623,embarrassed charlie rangel remains caucus,0
686,oh last charlie wilma jeanne,0
2673,yes white washed go around repping hood saying bunch ignorant nig term,1
449,pennsylvania white trash pennsylvanian,1
2222,fatherless wallet carrying video game playing negro breh filth way afford date,1
591,road perfect way continue finished,0
1494,project could lead military program requires full op mock testing,0
425,wassup wit fucc niccas,1
2142,morphing charlie wei never cease disturbing,0
2099,amos hate one upholds justice court detest one tell truth,0
2457,lmao u live wit ya girl u dish u faggot,1
273,highschool graduation rate near many uninformed,0
2038,assume shit hmm cuz u know fuck u talking cracker day,1
991,retarded,1
1357,charlie parr mountain top music fest,0
775,leave beaner retard,1
1460,straight men frustrated unlike okcupid queer folk ability block,1
1428,ankle hood bitch long weave worst thing ever weave touching ashy ankle,1
2661,well gahdamn wooooow good job mommy cutest thing blue ivy ever done still ugly nigger baby,1
1491,worst terrorist republican teabaggers,0
1116,comfortable niccas like say com tha ble smh,1
1091,callin da race card colored podcasts dare,0
1505,big smile eye chink,1
672,bandana orian called trailer trash wearing lil country getup,0
118,help maybe got ta card sorry tranny died motel room wife know applebees gift card,0
2230,gobble de gook,0
2471,yankee,0
2734,faggot like side state,1
874,half breed spic right say anything anglo ever killed,1
40,live eye white trash hurricane milwaukie people use bike bc duo save environment,1
1941,trash,0
2312,foster home imaginary trash whoa chill show everything tf,0
2478,tell hating niggah stfu,1
2263,cleveland best team manziel honestly oc use offense redskin brown nice wit def hc,0
111,yes retard,1
1184,little bitch team got blown super bowl,1
2511,ur faggot change name bday get bday tweet aint fb nigga fuck yo birthday,1
85,like talking faggot nicely way fag,1
1788,youre racist white people whigger anti racist codeword anti white anti zionist codeword antisemite,1
1056,rub hand like bird man,0
189,amos two walk together unless agreed,0
2254,trash jersey odds last minute around go back watching barney,0
2508,person feel disrespected bird poop suddenly dropping front window ewww,0
236,beer queer,1
2444,whoa easy amy slag canuck much generalization,0
2196,lt lt closet muzzie,0
2744,baked montreal chicken cheesy brussels sprout garlic butter triple cheddar chive yellow mashed,0
2440,yeah one called race traitor lol,0
2116,furrybah paypay voice hoe everybody nigga,1
1504,watch nigger lover day coming,1
1393,trick wait bird get close pipe tap screen never hit head,0
280,nigga talk bitch day,1
1178,thuggery cheating talking trash besides jameis nd middle cheating issue,0
310,niger,1
1468,perfection brain crossed wire something dont know came concentration maybe ghetto one,0
2138,record care unless got ta see every sexuality even bird dog,0
1430,egg sunny side nicca,0
362,band sucked worse live fag gun pose,1
142,green azz nigga yall new bitch condone dat sucka activity dat keep doin,1
482,anything trash black president,1
311,reason shelby hate sandwich queer,1
2575,con also provide colored sticker place nametags member indicate preferred pronoun,0
1015,oh shut mouth talkin morning fag,1
2567,plus trash talk know especially ole miss,0
951,ghetto,0
2173,hick yes,0
2475,white kid favorite activity calling people nigger xbox fucking pet shooting school,1
2608,shoot nigga shorty bitch,1
1452,nope got lucky washing slope gon na make little rough combining feeling fortunate today,0
158,nerve worked co monkey,0
1273,got ta ghetto fool,0
1319,ciara ghetto name well kinda ashanti,0
598,people grow vegetable nothing common peasant trash,1
75,burn bitch,1
627,day feel bout colored folk,0
2743,fucking hate coon ahh uncle,1
2425,honky tonk badonka ankh,0
33,lmao girlllaaaa like em chunky anymore,0
712,true idk even convo dumb nigger attention whore,1
2535,let play entire inning fitting,0
1712,absolutely absurd even think call,0
1708,lol getting early bird catch worm,0
2271,bet starbucks queer,1
745,average need scale ghetto u,0
1847,faggot,1
2100,little faggot usually bag head anyway make bullet placement interesting thru scope,1
1034,suck dick taco el negro better,1
2345,apparently honky pfft like bad thing,0
2121,bend buy make nigger,1
1470,learn dance nuh cuz u know carnival like pick month old yardie ting lol,0
2653,liked day bird got classroom,0
2307,faggot page cant faggot offend,1
218,ch burashka sure get nit picky russian monkey bear thing sometimes,0
1857,lol cunt liar hope drop dead k,1
347,fuck still talking shit acting like pussy nigga,1
2320,never life coffee shop like starbucks hick though,0
2291,trash talk win championship boring dude,0
267,well got see pom pom pete,0
1786,ill break bitch like pussy,1
1449,sound like holding back info yankee shill,0
2062,camel ostrich zebra see race,0
730,best asian massage brooklyn park slope top rated spa,0
378,hate hoe already shit crack,1
120,best behaved kid ever mommy commercial audition oreo mcflurries everybody,0
888,good prom see another faggot high school dance,1
602,cactus yellow lab chow mix hershey everybody active buddy cactus one special pup angel,0
948,lol already made waiting brownie finish,0
2463,kill coon,1
1317,even spell right brain ape,0
1762,jus tryna vaca away nigger bro,1
2143,beat score flappy bird,0
693,perfect stock photography article letting leprechaun looking handyman get liquor cabinet,0
2299,hope guy get attacked supporting sopa bunch dirty snake faggot,1
723,bomb selfie monkey timeline,0
621,talking crazy internet thing person try buddy buddy later faggot fuck,1
2882,woof woof hot sol,0
2255,one problem pussy allowed sorry,1
1081,like put looking race colored glass,0
1669,extra yellow,0
481,know good ho ho answer given ho ho whoa,0
78,bc deleted visionary saw subtweet next time tho love jail bird dress,0
105,dad brought home watermelon eegee like going trash,0
617,hate trailer trash,1
1403,derek jeter clap clap clapclapclap,0
2887,hoser eh,0
864,dumb black bitch getting card picture made fucking mad ruined day,1
2821,obama faves muslim black ghetto trash via,1
1330,gun sale skyrocketed gun crime fallen sharply claim contrary using fuzzy math,0
479,aye respect ya hustle dont tweet anymore trash video thank u kindly,0
2692,alexa phone gave u color julia got yellow dying,0
1025,watched video good stuff thought let new bos boon say old character surprise argus,0
917,johnny football trash man trash lol,0
217,dumb ugly stupid bullshit bitch,1
1490,ate wee brownie seeing random cat,0
1110,argie,0
1870,root royal october,0
2769,jihadi patron hajjaj al ajmi arrested kuwait airport,0
985,answer snapchat faggot,1
1750,learn first second flesh power hold death riff would cool bird lol,0
342,fuck fucking faggot randos even find zoe ask account,1
721,wait humble nigga playoff good job hoe,1
2347,deze hoe got past demon em yolo nigga lol hahahahaha,1
450,generate ascii box nodejs see ability bring flappy bird node via ascii tube bird,0
195,vin scully called camel jockey,1
2266,nig fun watch got admit ebola boy speak broken spanish lol,1
1532,go get left hot car die bitch,1
906,southwest airline like driving mini van white trash cousin love huff paint thinner working,1
1731,someone gave nip bailey irish cream coffee use suggestion,0
238,amo hang,0
1057,look rally bottom th,0
1834,lmao nigga regionally picky hoe say anything twitter make fun tho,1
738,laying rock around lake welcome join redneck workout,0
992,accept flaw imperfection make see fuck small dick faggot parent love,1
1149,yea live guess still got roof fixed charlie jeanne,0
2037,dallas hoe,0
1649,scandal sex scene air abc right great pumpkin charlie brown making parent angry,0
2599,honky,0
1670,miss pizza passion,0
1999,idk trash though,0
133,stand yankee jeter hitting home run final bat nyc would cool getting beaned would better,0
2878,lookin good mick,0
1817,little girl tom sawyer get trapped cave along injun joe almost die injun joe dy find treasure,0
1199,stupid teabagger restaurant making customer pay minimum wage fee,1
1598,devin hester bitch,1
2404,mean following order subordinate sue ya dyke,1
2836,great thought panic bird flu bad really got time,0
783,inner nigger coming,1
1666,like sand nigger entertaining like knockdown,1
1940,least say crazy nigga got ta find bitch wild shooting,1
144,fashion world urban mean stolen black people ghetto u urban haha,0
1915,go away already,0
2448,nigga call bitch fight bitch naw whomp trick feel coming,1
1850,cutie lesbian teen toy slit,0
2828,available online soon enough get anathema merch cracker need u,0
1667,dyke chick cut hair barbershop look like future,1
19,fucking fag exactly talking woman pig,1
2832,sound like good idea want word spread jew nigger commie alike,1
603,gone dog ran coon transformer pole picked one shot still electricity,0
2076,job u prez protect u throw trash ebola er cost daniel money life dog,0
1372,ur profile one armed nigger,1
2597,time place decaf coffee never trash humor via,0
1765,ahah fucking queer kill urself,1
2122,best asian massage brooklyn park slope top rated spa,0
1608,would cripple military,0
2452,lakers kobe trash,0
1931,trying follow spook offense,1
5,el negro,0
2070,proof thots retarded,1
867,karma bitch getting along fine real soon,1
486,u look like fat kid charlie walker got stuck chocolate tube,0
1435,lebron still bitch suck nigger hope die,1
80,got taxi right get oreo right possible,0
2152,craving brownie,0
781,want represent da life da colored man,0
1115,went gold cruz sound upper lower body strength hmm hr hitter say word,0
2027,man bitch gon na damn thang u like got say unfollow,1
131,yes da def da problem teacher spear chucker woulda gt dose rite,0
